t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:43.653395000,2330,0,0,208,2725000,2730000,232
2020-04-06D09:05:43.654616000,2330,0,0,210,2725000,2730000,232
2020-04-06D09:05:43.658754000,2330,2730000,13,210,2725000,2730000,219
2020-04-06D09:05:43.660032000,2330,0,0,211,2725000,2730000,219
2020-04-06D09:05:43.666976000,2330,0,0,211,2725000,2730000,220
2020-04-06D09:05:43.734179000,2330,0,0,210,2725000,2730000,220
2020-04-06D09:05:43.735561000,2330,0,0,208,2725000,2730000,220
2020-04-06D09:05:43.863450000,2330,2725000,1,207,2725000,2730000,220
2020-04-06D09:05:43.931121000,2330,2725000,1,206,2725000,2730000,220
2020-04-06D09:05:44.040782000,2330,0,0,206,2725000,2730000,220
2020-04-06D09:05:44.053979000,2330,0,0,206,2725000,2730000,220
2020-04-06D09:05:44.418691000,2330,0,0,205,2725000,2730000,220
2020-04-06D09:05:44.896992000,2330,0,0,205,2725000,2730000,220
2020-04-06D09:05:45.502660000,2330,0,0,205,2725000,2730000,220
2020-04-06D09:05:45.704651000,2330,0,0,205,2725000,2730000,220
2020-04-06D09:05:45.794126000,2330,0,0,205,2725000,2730000,228
2020-04-06D09:05:45.905073000,2330,0,0,205,2725000,2730000,228
2020-04-06D09:05:45.979052000,2330,0,0,205,2725000,2730000,230
2020-04-06D09:05:46.124451000,2330,0,0,206,2725000,2730000,230
2020-04-06D09:05:46.324146000,2330,0,0,206,2725000,2730000,231
2020-04-06D09:05:46.863061000,2330,0,0,207,2725000,2730000,231
2020-04-06D09:05:46.995694000,2330,0,0,207,2725000,2730000,229
2020-04-06D09:05:47.003716000,2330,0,0,207,2725000,2730000,229
2020-04-06D09:05:47.011035000,2330,0,0,207,2725000,2730000,229
2020-04-06D09:05:47.467454000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.524000000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.531870000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.538403000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.544854000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.550037000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.555709000,2330,0,0,208,2725000,2730000,229
2020-04-06D09:05:47.682194000,2330,0,0,209,2725000,2730000,229
2020-04-06D09:05:47.691587000,2330,0,0,209,2725000,2730000,229
2020-04-06D09:05:47.711811000,2330,0,0,209,2725000,2730000,229
2020-04-06D09:05:47.740335000,2330,0,0,209,2725000,2730000,229
2020-04-06D09:05:47.977358000,2330,0,0,210,2725000,2730000,229
2020-04-06D09:05:48.382147000,2330,0,0,210,2725000,2730000,229
2020-04-06D09:05:48.513046000,2330,2730000,1,210,2725000,2730000,228
